,ID,Extension,Education
0,5230.0,237,"M.S(CS), FAST-NU, Lahore, Pakistan (2015)"
1,6422.0,None,
2,6307.0,None,
3,4391.0,291,"Ph.D(Computing), University of Patras , Greece (2002)"
4,5116.0,None,"MS (CS), LUMS"
5,6304.0,None,"BS (CS), University of the Punjab, Lahore, 2020"
